"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"SRR1171523"	"SRR1171524"	"SRR1171525"	"SRR1171526"	"SRR1171527"	"SRR1171528"
"ENSG00000165949 IFI27"	1960.19698869929	-3.38449193751969	0.0938868897621699	-36.0486106856147	1.45001296994433e-284	1.9093770788227e-280	4689	3583	2758	309	384	334
"ENSG00000090382 LYZ"	7596.02991355164	-1.65034179651788	0.0561143026259667	-29.4103592005471	4.04815980879325e-190	2.66530841810947e-186	14212	10237	10789	3476	3764	3738
"ENSG00000115461 IGFBP5"	531.221747346784	-5.07115734167778	0.179523913264111	-28.2478097177908	1.51430675376378e-175	6.64679711118716e-172	1320	823	1025	23	26	43
"ENSG00000157601 MX1"	827.151143955044	-2.87779475750188	0.104782344134795	-27.4645006395332	4.66328782337817e-166	1.53515435145609e-162	1732	1501	1206	184	223	186
"ENSG00000111331 OAS3"	2127.20099856965	-2.66121437246369	0.097212420816032	-27.375250509396	5.4065406684614e-165	1.42386655044599e-161	4204	3977	2972	562	614	560
"ENSG00000070915 SLC12A3"	424.550928368134	-3.37485218826517	0.129867081494646	-25.98697182861	6.95154844504925e-149	1.52563316540681e-145	1012	721	653	63	85	76
"ENSG00000234745 HLA-B"	3197.0158777565	-1.43156615283978	0.0604169241391221	-23.6947870689893	4.0806844205219e-124	7.67635034991892e-121	6085	4256	4023	1590	1872	1719
"ENSG00000137965 IFI44"	409.095666252507	-2.97858077275592	0.131935222741086	-22.5760847700329	7.44601320475174e-113	1.22561377350214e-109	829	740	635	76	111	89
"ENSG00000204525 HLA-C"	1631.64213077183	-1.46154963757045	0.066021428650433	-22.137503950558	1.37651467428373e-108	2.01399391455201e-105	3112	2150	2106	791	923	891
"ENSG00000110042 DTX4"	524.131839890419	-2.47021904395796	0.117318179839447	-21.0557225430749	2.02669516646427e-98	2.66875219520016e-95	1166	883	688	166	168	145
"ENSG00000120708 TGFBI"	289.356610016715	-3.05094626505402	0.147967252035589	-20.6190641718494	1.85104283260237e-94	2.21586654724619e-91	652	495	438	47	60	80
"ENSG00000133048 CHI3L1"	628.876930132934	-2.11144346264188	0.104111348458303	-20.2806273658776	1.90683753829191e-91	2.09243639201899e-88	1205	879	1025	194	261	254
"ENSG00000088882 CPXM1"	278.557539437802	-2.88086593839751	0.145287776964248	-19.8286875784907	1.68375939142727e-87	1.70551874356264e-84	629	443	436	49	66	85
"ENSG00000114013 CD86"	329.845570044553	-2.80869837395488	0.141932766274374	-19.7889356184696	3.70789672312537e-87	3.48754171786535e-84	706	607	453	69	87	91
"ENSG00000111335 OAS2"	3637.30016711417	-1.53908655761101	0.0777973292479815	-19.783282697342	4.14788418628442e-87	3.64128926433288e-84	6239	5568	4634	1705	2045	1828
"ENSG00000089127 OAS1"	649.697830394584	-2.20669745547587	0.111620497603963	-19.7696435945429	5.43586012336282e-87	4.4737128815276e-84	1308	1112	846	236	249	206
"ENSG00000185745 IFIT1"	455.361885025675	-2.69959774983273	0.136983059584786	-19.7075299530874	1.85818283273803e-86	1.43932656126438e-83	1015	826	587	115	149	100
"ENSG00000164692 COL1A2"	214.289766616391	-5.19895141865626	0.269830820245476	-19.2674484476109	1.007839124504e-82	7.37290310637145e-80	521	379	378	11	12	11
"ENSG00000142089 IFITM3"	834.072050067034	-1.90316006442279	0.101609832360775	-18.7300777907541	2.81504357786718e-78	1.95097335965026e-75	1830	1245	1012	294	402	362
"ENSG00000166710 B2M"	12400.7742767404	-0.916096088126668	0.0499054661530103	-18.3566282161941	2.9219587896662e-75	1.92381766711623e-72	20527	14931	14285	7977	9142	8601
"ENSG00000119917 IFIT3"	471.24039027954	-1.94661933210462	0.106114607101281	-18.3444992662195	3.6527648308627e-75	2.29045749013334e-72	888	744	648	188	194	198
"ENSG00000025708 TYMP"	399.107855157411	-2.31119163291121	0.126759955055738	-18.2328214923628	2.83319935510132e-74	1.69579859581701e-71	959	545	567	123	158	121
"ENSG00000166750 SLFN5"	244.525433537457	-2.87762856507453	0.158254259364379	-18.1835773433991	6.96391839172164e-74	3.98699466879089e-71	466	422	411	52	65	58
"ENSG00000189060 H1F0"	191.302839800372	-3.4174158787043	0.188332030704567	-18.1456965441271	1.38863484444736e-73	7.61897651320117e-71	451	287	337	32	28	38
"ENSG00000138496 PARP9"	878.596546214465	-1.64337185507318	0.0914113996521746	-17.9777561805891	2.91034312353388e-72	1.53293593002776e-69	1574	1330	1151	389	489	398
"ENSG00000115415 STAT1"	6881.4877092485	-1.15328525677606	0.0644497794728271	-17.8943243283291	1.30570890298786e-71	6.61291339790161e-69	11302	9381	8254	3975	4602	4201
"ENSG00000088827 SIGLEC1"	281.791793697445	-2.81364108713129	0.157265524791944	-17.8910227836243	1.38541946949479e-71	6.75674206455827e-69	577	546	379	64	76	70
"ENSG00000196684 HSH2D"	162.763248620462	-3.99014629816948	0.228365911388823	-17.4726003277071	2.31690154268422e-68	1.08960569693092e-65	397	267	279	8	25	25
"ENSG00000168394 TAP1"	513.484471959425	-1.71087383915862	0.0998070697991257	-17.1418101202848	7.23624521871933e-66	3.28575438069297e-63	1016	761	643	221	252	247
"ENSG00000177409 SAMD9L"	1855.38357179407	-1.60943409848478	0.0941287930247868	-17.0982124254049	1.53026342898922e-65	6.71683627764335e-63	3103	2919	2434	902	1002	832
"ENSG00000131401 NAPSB"	505.327174065281	-1.67468640177181	0.0985332075402335	-16.9961624469395	8.76749243645762e-65	3.72420452913787e-62	977	664	721	210	270	243
"ENSG00000137628 DDX60"	911.881119282589	-1.688122401901	0.0994607035062355	-16.9727575051304	1.30650374638404e-64	5.37626291637034e-62	1535	1464	1210	410	463	418
"ENSG00000108679 LGALS3BP"	176.185483305413	-3.47137162255465	0.206728680377498	-16.7919207737201	2.79646024559427e-63	1.11587237921168e-60	398	349	242	33	27	27
"ENSG00000137959 IFI44L"	1495.77629242645	-3.06839635136063	0.184832248134545	-16.6009794412447	6.85629568633974e-62	2.65540298816829e-59	3088	2876	2159	311	375	267
"ENSG00000171604 CXXC5"	511.986955749567	-1.60468400103468	0.0967908085660847	-16.5788882726304	9.904413148272e-62	3.72632320961274e-59	999	656	715	235	266	258
"ENSG00000156587 UBE2L6"	825.387573890177	-1.43698624902169	0.0880170838091089	-16.3262197159158	6.42437649387762e-60	2.34989415753835e-57	1503	1181	1009	437	476	418
"ENSG00000134326 CMPK2"	1075.88809206806	-1.24840813295356	0.0806346111705617	-15.482286264305	4.56940918695296e-54	1.62621568037288e-51	1805	1448	1363	600	710	597
"ENSG00000173193 PARP14"	3335.74295064505	-1.28505159702871	0.0836930883314351	-15.3543335853464	3.31296408605727e-53	1.14802923908427e-50	5315	4997	4020	1808	2067	1934
"ENSG00000168961 LGALS9"	816.525673264624	-1.33811383420978	0.088160214023914	-15.1782053733083	4.9308885037994e-52	1.66487025174437e-49	1573	1055	988	426	529	433
"ENSG00000102524 TNFSF13B"	572.156729858686	-1.61640219624154	0.106598492789644	-15.163462014714	6.17279536285286e-52	2.03208423345116e-49	944	803	859	264	310	267
"ENSG00000164088 PPM1M"	268.402104624744	-1.91318481612016	0.127980816563034	-14.9489967910766	1.58113151506325e-50	5.07813165618364e-48	541	368	393	110	123	104
"ENSG00000240065 PSMB9"	481.561977002473	-1.4277894001713	0.0955425403125021	-14.9440175601493	1.70385455416323e-50	5.34198970695749e-48	885	643	625	248	277	256
"ENSG00000146674 IGFBP3"	131.914390465932	-3.01880911092063	0.206772046510995	-14.599696437981	2.82098642571399e-48	8.63877889623298e-46	306	193	224	22	29	36
"ENSG00000206503 HLA-A"	1617.60624458574	-0.968657837112732	0.066919356550309	-14.4750022571498	1.74320022087478e-47	5.21692284283617e-45	2755	2010	1818	996	1141	1141
